"","date","monthly_casualties"
"1","2013-01",365.048565121413
"2","2013-02",462.381898454746
"3","2013-03",513.033112582782
"4","2013-04",608.71523178808
"5","2013-05",983.127643665884
"6","2013-06",1069.6935483871
"7","2013-07",1133.5
"8","2013-08",829.666666666667
"9","2013-09",795.527777777778
"10","2013-10",536.333333333333
"11","2013-11",487.472222222222
"12","2013-12",346.5
"13","2014-01",629.514563106796
"14","2014-02",693.014563106796
"15","2014-03",660.633686287961
"16","2014-04",902.187578979812
"17","2014-05",1118.12776460412
"18","2014-06",1404.68757897981
"19","2014-07",1203.96109793745
"20","2014-08",1476.06257897981
"21","2014-09",1400.97924564648
"22","2014-10",1056.76985369782
"23","2014-11",892.061488673139
"24","2014-12",1111
"25","2015-01",1139.97862767154
"26","2015-02",1844.16910386202
"27","2015-03",1274.20266216723
"28","2015-04",1524.17353354087
"29","2015-05",1907.30940609168
"30","2015-06",1543.5
"31","2015-07",1063.66666666667
"32","2015-08",1785
"33","2015-09",1844.24761904762
"34","2015-10",2107.75238095238
"35","2015-11",873
"36","2015-12",1080
"37","2016-01",1019
"38","2016-02",1449.86451612903
"39","2016-03",1163.63548387097
"40","2016-04",1681.6875
"41","2016-05",1869.8125
"42","2016-06",1577.5
"43","2016-07",1414.51131221719
"44","2016-08",2021.98868778281
"45","2016-09",1625.83333333333
"46","2016-10",2956.66666666667
"47","2016-11",1051.83333333333
"48","2016-12",881.666666666667
"49","2017-01",1324.2
"50","2017-02",1720.46666666667
"51","2017-03",1657.90476190476
"52","2017-04",1650.78571428571
"53","2017-05",1865.64285714286
"54","2017-06",1132.93333333333
"55","2017-07",2386.06666666667
"56","2017-08",2298
"57","2017-09",1636.30238095238
"58","2017-10",1757.19761904762
"59","2017-11",1318.25
"60","2017-12",0
