destination_district,visits
106,0.0
107,109.0
108,45.0
109,10.0
110,164.0
111,5.0
112,3.0
113,0.0
114,4.0
115,3.0
201,3.0
202,24.0
203,0.0
204,11.0
205,12.0
206,0.0
207,14.0
301,10.0
302,8.0
303,0.0
304,1.0
305,8.0
306,4.0
307,5.0
308,25.0
309,3.0
310,0.0
401,14.0
402,0.0
403,0.0
404,0.0
405,0.0
406,0.0
407,19.0
408,7.0
409,2.0
501,5.0
502,12.0
503,5.0
504,6.0
505,2.0
506,0.0
507,0.0
601,86.0
602,0.0
603,6.0
604,0.0
605,0.0
606,0.0
607,100.0
608,3.0
609,1.0
610,0.0
611,0.0
612,0.0
613,4.0
614,5.0
615,1.0
616,0.0
617,0.0
618,0.0
619,0.0
701,42.0
702,8.0
703,2.0
704,2.0
705,2.0
706,0.0
707,0.0
708,0.0
709,0.0
710,2.0
711,4.0
801,34.0
802,7.0
803,0.0
804,0.0
805,5.0
806,19.0
807,10.0
808,3.0
809,5.0
810,4.0
811,0.0
812,0.0
813,1.0
814,9.0
815,0.0
816,4.0
817,0.0
818,3.0
819,0.0
820,4.0
821,9.0
822,14.0
901,17.0
902,2.0
903,0.0
904,0.0
905,3.0
1001,6.0
1002,0.0
1003,0.0
1004,2.0
1005,0.0
1006,0.0
1007,3.0
1008,0.0
1009,0.0
1010,0.0
1011,1.0
1012,3.0
1013,0.0
1014,0.0
1015,0.0
1101,88.0
1102,4.0
1103,17.0
1104,0.0
1105,0.0
1106,0.0
1107,3.0
1108,10.0
1109,4.0
1110,0.0
1111,0.0
1112,0.0
1113,0.0
1114,0.0
1115,4.0
1116,0.0
1117,0.0
1118,0.0
1119,0.0
1120,0.0
1121,0.0
1122,0.0
1123,0.0
1124,0.0
1125,2.0
1126,0.0
1127,0.0
1128,0.0
1201,43.0
1202,0.0
1203,3.0
1204,3.0
1205,0.0
1206,0.0
1207,1.0
1208,0.0
1209,0.0
1210,1.0
1211,0.0
1212,5.0
1213,0.0
1214,2.0
1215,0.0
1216,1.0
1217,0.0
1301,74.0
1302,0.0
1303,1.0
1304,5.0
1305,0.0
1306,3.0
1307,10.0
1308,0.0
1309,3.0
1310,0.0
1311,7.0
1312,0.0
1313,0.0
1314,0.0
1315,0.0
1401,119.0
1402,38.0
1403,6.0
1404,0.0
1405,4.0
1406,14.0
1407,0.0
1501,26.0
1502,2.0
1503,0.0
1504,0.0
1505,0.0
1506,2.0
1507,0.0
1601,129.0
1602,83.0
1603,2.0
1604,0.0
1605,4.0
1606,1.0
1607,1.0
1608,0.0
1609,1.0
1610,0.0
1611,0.0
1612,16.0
1613,39.0
1614,5.0
1615,9.0
1701,54.0
1702,1.0
1703,1.0
1704,8.0
1705,0.0
1706,18.0
1707,0.0
1708,3.0
1709,0.0
1710,0.0
1711,0.0
1801,30.0
1802,3.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,3.0
1809,1.0
1810,0.0
1811,0.0
1812,3.0
1813,0.0
1814,1.0
1901,10.0
1902,0.0
1903,0.0
1904,0.0
1905,0.0
1906,0.0
1907,0.0
2001,194.0
2002,18.0
2003,17.0
2004,1.0
2005,2.0
2006,1.0
2007,0.0
2008,2.0
2009,7.0
2010,0.0
2011,0.0
2012,0.0
2013,0.0
2014,26.0
2015,0.0
2016,0.0
2101,21.0
2102,0.0
2103,0.0
2104,0.0
2105,0.0
2106,0.0
2107,0.0
2108,0.0
2109,0.0
2110,0.0
2111,0.0
2201,44.0
2202,0.0
2203,0.0
2204,1.0
2205,4.0
2301,37.0
2302,12.0
2303,0.0
2304,1.0
2305,0.0
2306,0.0
2307,23.0
2308,0.0
2309,3.0
2310,0.0
2311,0.0
2312,0.0
2313,0.0
2401,96.0
2402,4.0
2403,0.0
2404,3.0
2405,0.0
2406,0.0
2407,0.0
2408,0.0
2409,0.0
2410,0.0
2411,5.0
2412,0.0
2413,0.0
2414,0.0
2415,0.0
2416,6.0
2501,11.0
2502,0.0
2503,0.0
2504,0.0
2505,0.0
2506,0.0
2507,0.0
2508,0.0
2509,0.0
2510,0.0
2511,0.0
2601,21.0
2602,0.0
2603,0.0
2604,0.0
2605,2.0
2701,39.0
2702,0.0
2703,0.0
2704,0.0
2705,0.0
2706,0.0
2707,4.0
2708,0.0
2709,0.0
2710,0.0
2801,61.0
2802,8.0
2803,0.0
2804,2.0
2805,0.0
2806,0.0
2807,0.0
2901,16.0
2902,1.0
2903,0.0
2904,0.0
2905,0.0
2906,0.0
2907,0.0
2908,0.0
2909,0.0
2910,0.0
2911,2.0
2912,0.0
2913,0.0
2914,0.0
2915,0.0
2916,0.0
2917,0.0
2918,4.0
2919,1.0
3001,3.0
3002,0.0
3003,0.0
3004,0.0
3005,0.0
3006,0.0
3007,0.0
3008,0.0
3101,9.0
3102,0.0
3103,0.0
3104,0.0
3105,0.0
3106,0.0
3107,0.0
3201,67.0
3202,2.0
3203,1.0
3204,0.0
3205,0.0
3206,7.0
3207,0.0
3208,1.0
3209,10.0
3210,0.0
3211,0.0
3212,0.0
3213,0.0
3301,0.0
3302,0.0
3303,0.0
3304,0.0
3305,0.0
3306,8.0
3307,10.0
3401,5.0
3402,0.0
3403,0.0
3404,0.0
3405,0.0
3406,0.0
3407,0.0
3408,0.0
3409,0.0
