origin_district,impact_day,impacted,destination_district,visit_day,visits,visits_percentage
101,1,86936,102,16,17.0,0.0001955461488911383
101,1,86936,103,16,6.0,6.901628784393116e-05
101,1,86936,104,16,0.0,0.0
101,1,86936,105,16,6.0,6.901628784393116e-05
101,1,86936,106,16,0.0,0.0
101,1,86936,107,16,109.0,0.0012537958958314162
101,1,86936,108,16,45.0,0.0005176221588294838
101,1,86936,109,16,10.0,0.00011502714640655194
101,1,86936,110,16,164.0,0.001886445201067452
101,1,86936,111,16,5.0,5.751357320327597e-05
101,1,86936,112,16,3.0,3.450814392196558e-05
101,1,86936,113,16,0.0,0.0
101,1,86936,114,16,4.0,4.601085856262078e-05
101,1,86936,115,16,3.0,3.450814392196558e-05
101,1,86936,201,16,3.0,3.450814392196558e-05
101,1,86936,202,16,24.0,0.00027606515137572465
101,1,86936,203,16,0.0,0.0
101,1,86936,204,16,11.0,0.00012652986104720715
101,1,86936,205,16,12.0,0.00013803257568786233
101,1,86936,206,16,0.0,0.0
101,1,86936,207,16,14.0,0.00016103800496917274
101,1,86936,301,16,10.0,0.00011502714640655194
101,1,86936,302,16,8.0,9.202171712524156e-05
101,1,86936,303,16,0.0,0.0
101,1,86936,304,16,1.0,1.1502714640655195e-05
101,1,86936,305,16,8.0,9.202171712524156e-05
101,1,86936,306,16,4.0,4.601085856262078e-05
101,1,86936,307,16,5.0,5.751357320327597e-05
101,1,86936,308,16,25.0,0.0002875678660163799
101,1,86936,309,16,3.0,3.450814392196558e-05
101,1,86936,310,16,0.0,0.0
101,1,86936,401,16,14.0,0.00016103800496917274
101,1,86936,402,16,0.0,0.0
101,1,86936,403,16,0.0,0.0
101,1,86936,404,16,0.0,0.0
101,1,86936,405,16,0.0,0.0
101,1,86936,406,16,0.0,0.0
101,1,86936,407,16,19.0,0.0002185515781724487
101,1,86936,408,16,7.0,8.051900248458637e-05
101,1,86936,409,16,2.0,2.300542928131039e-05
101,1,86936,501,16,5.0,5.751357320327597e-05
101,1,86936,502,16,12.0,0.00013803257568786233
101,1,86936,503,16,5.0,5.751357320327597e-05
101,1,86936,504,16,6.0,6.901628784393116e-05
101,1,86936,505,16,2.0,2.300542928131039e-05
101,1,86936,506,16,0.0,0.0
101,1,86936,507,16,0.0,0.0
101,1,86936,601,16,86.0,0.0009892334590963468
101,1,86936,602,16,0.0,0.0
101,1,86936,603,16,6.0,6.901628784393116e-05
101,1,86936,604,16,0.0,0.0
101,1,86936,605,16,0.0,0.0
101,1,86936,606,16,0.0,0.0
101,1,86936,607,16,100.0,0.0011502714640655195
101,1,86936,608,16,3.0,3.450814392196558e-05
101,1,86936,609,16,1.0,1.1502714640655195e-05
101,1,86936,610,16,0.0,0.0
101,1,86936,611,16,0.0,0.0
101,1,86936,612,16,0.0,0.0
101,1,86936,613,16,4.0,4.601085856262078e-05
101,1,86936,614,16,5.0,5.751357320327597e-05
101,1,86936,615,16,1.0,1.1502714640655195e-05
101,1,86936,616,16,0.0,0.0
101,1,86936,617,16,0.0,0.0
101,1,86936,618,16,0.0,0.0
101,1,86936,619,16,0.0,0.0
101,1,86936,701,16,42.0,0.0004831140149075182
101,1,86936,702,16,8.0,9.202171712524156e-05
101,1,86936,703,16,2.0,2.300542928131039e-05
101,1,86936,704,16,2.0,2.300542928131039e-05
101,1,86936,705,16,2.0,2.300542928131039e-05
101,1,86936,706,16,0.0,0.0
101,1,86936,707,16,0.0,0.0
101,1,86936,708,16,0.0,0.0
101,1,86936,709,16,0.0,0.0
101,1,86936,710,16,2.0,2.300542928131039e-05
101,1,86936,711,16,4.0,4.601085856262078e-05
101,1,86936,801,16,34.0,0.0003910922977822766
101,1,86936,802,16,7.0,8.051900248458637e-05
101,1,86936,803,16,0.0,0.0
101,1,86936,804,16,0.0,0.0
101,1,86936,805,16,5.0,5.751357320327597e-05
101,1,86936,806,16,19.0,0.0002185515781724487
101,1,86936,807,16,10.0,0.00011502714640655194
101,1,86936,808,16,3.0,3.450814392196558e-05
101,1,86936,809,16,5.0,5.751357320327597e-05
101,1,86936,810,16,4.0,4.601085856262078e-05
101,1,86936,811,16,0.0,0.0
101,1,86936,812,16,0.0,0.0
101,1,86936,813,16,1.0,1.1502714640655195e-05
101,1,86936,814,16,9.0,0.00010352443176589675
101,1,86936,815,16,0.0,0.0
101,1,86936,816,16,4.0,4.601085856262078e-05
101,1,86936,817,16,0.0,0.0
101,1,86936,818,16,3.0,3.450814392196558e-05
101,1,86936,819,16,0.0,0.0
101,1,86936,820,16,4.0,4.601085856262078e-05
101,1,86936,821,16,9.0,0.00010352443176589675
101,1,86936,822,16,14.0,0.00016103800496917274
101,1,86936,901,16,17.0,0.0001955461488911383
101,1,86936,902,16,2.0,2.300542928131039e-05
101,1,86936,903,16,0.0,0.0
101,1,86936,904,16,0.0,0.0
101,1,86936,905,16,3.0,3.450814392196558e-05
101,1,86936,1001,16,6.0,6.901628784393116e-05
101,1,86936,1002,16,0.0,0.0
101,1,86936,1003,16,0.0,0.0
101,1,86936,1004,16,2.0,2.300542928131039e-05
101,1,86936,1005,16,0.0,0.0
101,1,86936,1006,16,0.0,0.0
101,1,86936,1007,16,3.0,3.450814392196558e-05
101,1,86936,1008,16,0.0,0.0
101,1,86936,1009,16,0.0,0.0
101,1,86936,1010,16,0.0,0.0
101,1,86936,1011,16,1.0,1.1502714640655195e-05
101,1,86936,1012,16,3.0,3.450814392196558e-05
101,1,86936,1013,16,0.0,0.0
101,1,86936,1014,16,0.0,0.0
101,1,86936,1015,16,0.0,0.0
101,1,86936,1101,16,88.0,0.0010122388883776572
101,1,86936,1102,16,4.0,4.601085856262078e-05
101,1,86936,1103,16,17.0,0.0001955461488911383
101,1,86936,1104,16,0.0,0.0
101,1,86936,1105,16,0.0,0.0
101,1,86936,1106,16,0.0,0.0
101,1,86936,1107,16,3.0,3.450814392196558e-05
101,1,86936,1108,16,10.0,0.00011502714640655194
101,1,86936,1109,16,4.0,4.601085856262078e-05
101,1,86936,1110,16,0.0,0.0
101,1,86936,1111,16,0.0,0.0
101,1,86936,1112,16,0.0,0.0
101,1,86936,1113,16,0.0,0.0
101,1,86936,1114,16,0.0,0.0
101,1,86936,1115,16,4.0,4.601085856262078e-05
101,1,86936,1116,16,0.0,0.0
101,1,86936,1117,16,0.0,0.0
101,1,86936,1118,16,0.0,0.0
101,1,86936,1119,16,0.0,0.0
101,1,86936,1120,16,0.0,0.0
101,1,86936,1121,16,0.0,0.0
101,1,86936,1122,16,0.0,0.0
101,1,86936,1123,16,0.0,0.0
101,1,86936,1124,16,0.0,0.0
101,1,86936,1125,16,2.0,2.300542928131039e-05
101,1,86936,1126,16,0.0,0.0
101,1,86936,1127,16,0.0,0.0
101,1,86936,1128,16,0.0,0.0
101,1,86936,1201,16,43.0,0.0004946167295481734
101,1,86936,1202,16,0.0,0.0
101,1,86936,1203,16,3.0,3.450814392196558e-05
101,1,86936,1204,16,3.0,3.450814392196558e-05
101,1,86936,1205,16,0.0,0.0
101,1,86936,1206,16,0.0,0.0
101,1,86936,1207,16,1.0,1.1502714640655195e-05
101,1,86936,1208,16,0.0,0.0
101,1,86936,1209,16,0.0,0.0
101,1,86936,1210,16,1.0,1.1502714640655195e-05
101,1,86936,1211,16,0.0,0.0
101,1,86936,1212,16,5.0,5.751357320327597e-05
101,1,86936,1213,16,0.0,0.0
101,1,86936,1214,16,2.0,2.300542928131039e-05
101,1,86936,1215,16,0.0,0.0
101,1,86936,1216,16,1.0,1.1502714640655195e-05
101,1,86936,1217,16,0.0,0.0
101,1,86936,1301,16,74.0,0.0008512008834084844
101,1,86936,1302,16,0.0,0.0
101,1,86936,1303,16,1.0,1.1502714640655195e-05
101,1,86936,1304,16,5.0,5.751357320327597e-05
101,1,86936,1305,16,0.0,0.0
101,1,86936,1306,16,3.0,3.450814392196558e-05
101,1,86936,1307,16,10.0,0.00011502714640655194
101,1,86936,1308,16,0.0,0.0
101,1,86936,1309,16,3.0,3.450814392196558e-05
101,1,86936,1310,16,0.0,0.0
101,1,86936,1311,16,7.0,8.051900248458637e-05
101,1,86936,1312,16,0.0,0.0
101,1,86936,1313,16,0.0,0.0
101,1,86936,1314,16,0.0,0.0
