origin_district,impact_day,impacted,destination_district,visit_day,visits
1401,911,42817,101,926,3386.0
1401,911,42817,102,926,7.0
1401,911,42817,103,926,17.0
1401,911,42817,104,926,0.0
1401,911,42817,105,926,8.0
1401,911,42817,106,926,0.0
1401,911,42817,107,926,185.0
1401,911,42817,108,926,22.0
1401,911,42817,109,926,13.0
1401,911,42817,110,926,118.0
1401,911,42817,111,926,0.0
1401,911,42817,112,926,2.0
1401,911,42817,113,926,0.0
1401,911,42817,114,926,1.0
1401,911,42817,115,926,1.0
1401,911,42817,201,926,6.0
1401,911,42817,202,926,10.0
1401,911,42817,203,926,0.0
1401,911,42817,204,926,6.0
1401,911,42817,205,926,3.0
1401,911,42817,206,926,0.0
1401,911,42817,207,926,6.0
1401,911,42817,301,926,56.0
1401,911,42817,302,926,22.0
1401,911,42817,303,926,0.0
1401,911,42817,304,926,0.0
1401,911,42817,305,926,1.0
1401,911,42817,306,926,0.0
1401,911,42817,307,926,0.0
1401,911,42817,308,926,30.0
1401,911,42817,309,926,1.0
1401,911,42817,310,926,0.0
1401,911,42817,401,926,5.0
1401,911,42817,402,926,0.0
1401,911,42817,403,926,0.0
1401,911,42817,404,926,0.0
1401,911,42817,405,926,0.0
1401,911,42817,406,926,0.0
1401,911,42817,407,926,1.0
1401,911,42817,408,926,0.0
1401,911,42817,409,926,0.0
1401,911,42817,501,926,3.0
1401,911,42817,502,926,0.0
1401,911,42817,503,926,0.0
1401,911,42817,504,926,0.0
1401,911,42817,505,926,0.0
1401,911,42817,506,926,0.0
1401,911,42817,507,926,0.0
1401,911,42817,601,926,10.0
1401,911,42817,602,926,0.0
1401,911,42817,603,926,0.0
1401,911,42817,604,926,0.0
1401,911,42817,605,926,0.0
1401,911,42817,606,926,0.0
1401,911,42817,607,926,0.0
1401,911,42817,608,926,0.0
1401,911,42817,609,926,0.0
1401,911,42817,610,926,0.0
1401,911,42817,611,926,0.0
1401,911,42817,612,926,0.0
1401,911,42817,613,926,0.0
1401,911,42817,614,926,1.0
1401,911,42817,615,926,0.0
1401,911,42817,616,926,0.0
1401,911,42817,617,926,0.0
1401,911,42817,618,926,0.0
1401,911,42817,619,926,0.0
1401,911,42817,701,926,5.0
1401,911,42817,702,926,1.0
1401,911,42817,703,926,0.0
1401,911,42817,704,926,0.0
1401,911,42817,705,926,0.0
1401,911,42817,706,926,0.0
1401,911,42817,707,926,0.0
1401,911,42817,708,926,0.0
1401,911,42817,709,926,0.0
1401,911,42817,710,926,0.0
1401,911,42817,711,926,0.0
1401,911,42817,801,926,19.0
1401,911,42817,802,926,2.0
1401,911,42817,803,926,0.0
1401,911,42817,804,926,0.0
1401,911,42817,805,926,0.0
1401,911,42817,806,926,0.0
1401,911,42817,807,926,0.0
1401,911,42817,808,926,0.0
1401,911,42817,809,926,3.0
1401,911,42817,810,926,0.0
1401,911,42817,811,926,0.0
1401,911,42817,812,926,0.0
1401,911,42817,813,926,0.0
1401,911,42817,814,926,0.0
1401,911,42817,815,926,0.0
1401,911,42817,816,926,0.0
1401,911,42817,817,926,1.0
1401,911,42817,818,926,4.0
1401,911,42817,819,926,0.0
1401,911,42817,820,926,0.0
1401,911,42817,821,926,5.0
1401,911,42817,822,926,0.0
1401,911,42817,901,926,7.0
1401,911,42817,902,926,6.0
1401,911,42817,903,926,1.0
1401,911,42817,904,926,0.0
1401,911,42817,905,926,0.0
1401,911,42817,1001,926,8.0
1401,911,42817,1002,926,0.0
1401,911,42817,1003,926,0.0
1401,911,42817,1004,926,0.0
1401,911,42817,1005,926,0.0
1401,911,42817,1006,926,0.0
1401,911,42817,1007,926,0.0
1401,911,42817,1008,926,0.0
1401,911,42817,1009,926,0.0
1401,911,42817,1010,926,0.0
1401,911,42817,1011,926,0.0
1401,911,42817,1012,926,0.0
1401,911,42817,1013,926,0.0
1401,911,42817,1014,926,0.0
1401,911,42817,1015,926,0.0
1401,911,42817,1101,926,268.0
1401,911,42817,1102,926,55.0
1401,911,42817,1103,926,15.0
1401,911,42817,1104,926,0.0
1401,911,42817,1105,926,0.0
1401,911,42817,1106,926,0.0
1401,911,42817,1107,926,1.0
1401,911,42817,1108,926,17.0
1401,911,42817,1109,926,2.0
1401,911,42817,1110,926,0.0
1401,911,42817,1111,926,0.0
1401,911,42817,1112,926,0.0
1401,911,42817,1113,926,0.0
1401,911,42817,1114,926,0.0
1401,911,42817,1115,926,22.0
1401,911,42817,1116,926,0.0
1401,911,42817,1117,926,0.0
1401,911,42817,1118,926,1.0
1401,911,42817,1119,926,0.0
1401,911,42817,1120,926,0.0
1401,911,42817,1121,926,0.0
1401,911,42817,1122,926,0.0
1401,911,42817,1123,926,0.0
1401,911,42817,1124,926,0.0
1401,911,42817,1125,926,0.0
1401,911,42817,1126,926,0.0
1401,911,42817,1127,926,0.0
1401,911,42817,1128,926,0.0
1401,911,42817,1201,926,981.0
1401,911,42817,1202,926,1.0
1401,911,42817,1203,926,27.0
1401,911,42817,1204,926,4.0
1401,911,42817,1205,926,0.0
1401,911,42817,1206,926,13.0
1401,911,42817,1207,926,2.0
1401,911,42817,1208,926,64.0
1401,911,42817,1209,926,24.0
1401,911,42817,1210,926,17.0
1401,911,42817,1211,926,2.0
1401,911,42817,1212,926,29.0
1401,911,42817,1213,926,14.0
1401,911,42817,1214,926,7.0
1401,911,42817,1215,926,0.0
1401,911,42817,1216,926,13.0
1401,911,42817,1217,926,0.0
1401,911,42817,1301,926,201.0
1401,911,42817,1302,926,0.0
1401,911,42817,1303,926,1.0
1401,911,42817,1304,926,7.0
1401,911,42817,1305,926,0.0
1401,911,42817,1306,926,7.0
1401,911,42817,1307,926,10.0
1401,911,42817,1308,926,0.0
1401,911,42817,1309,926,13.0
1401,911,42817,1310,926,20.0
1401,911,42817,1311,926,32.0
1401,911,42817,1312,926,0.0
1401,911,42817,1313,926,0.0
1401,911,42817,1314,926,0.0
1401,911,42817,1315,926,0.0
1401,911,42817,1402,926,254.0
1401,911,42817,1403,926,60.0
1401,911,42817,1404,926,24.0
1401,911,42817,1405,926,52.0
1401,911,42817,1406,926,275.0
1401,911,42817,1407,926,13.0
1401,911,42817,1501,926,34.0
1401,911,42817,1502,926,1.0
1401,911,42817,1503,926,0.0
1401,911,42817,1504,926,0.0
1401,911,42817,1505,926,0.0
1401,911,42817,1506,926,2.0
1401,911,42817,1507,926,0.0
1401,911,42817,1601,926,542.0
1401,911,42817,1602,926,214.0
1401,911,42817,1603,926,1.0
1401,911,42817,1604,926,0.0
1401,911,42817,1605,926,0.0
1401,911,42817,1606,926,11.0
1401,911,42817,1607,926,0.0
1401,911,42817,1608,926,0.0
1401,911,42817,1609,926,0.0
1401,911,42817,1610,926,0.0
1401,911,42817,1611,926,0.0
1401,911,42817,1612,926,33.0
1401,911,42817,1613,926,34.0
1401,911,42817,1614,926,38.0
1401,911,42817,1615,926,61.0
1401,911,42817,1701,926,12.0
1401,911,42817,1702,926,2.0
1401,911,42817,1703,926,1.0
1401,911,42817,1704,926,1.0
1401,911,42817,1705,926,0.0
1401,911,42817,1706,926,10.0
1401,911,42817,1707,926,0.0
1401,911,42817,1708,926,1.0
1401,911,42817,1709,926,0.0
1401,911,42817,1710,926,0.0
1401,911,42817,1711,926,0.0
1401,911,42817,1801,926,20.0
1401,911,42817,1802,926,0.0
1401,911,42817,1803,926,0.0
1401,911,42817,1804,926,2.0
1401,911,42817,1805,926,0.0
1401,911,42817,1806,926,0.0
1401,911,42817,1807,926,0.0
1401,911,42817,1808,926,10.0
1401,911,42817,1809,926,0.0
1401,911,42817,1810,926,0.0
1401,911,42817,1811,926,1.0
1401,911,42817,1812,926,2.0
1401,911,42817,1813,926,0.0
1401,911,42817,1814,926,0.0
1401,911,42817,1901,926,0.0
1401,911,42817,1902,926,0.0
1401,911,42817,1903,926,1.0
1401,911,42817,1904,926,0.0
1401,911,42817,1905,926,0.0
1401,911,42817,1906,926,0.0
1401,911,42817,1907,926,0.0
1401,911,42817,2001,926,6.0
1401,911,42817,2002,926,1.0
1401,911,42817,2003,926,4.0
1401,911,42817,2004,926,0.0
1401,911,42817,2005,926,0.0
1401,911,42817,2006,926,0.0
1401,911,42817,2007,926,0.0
1401,911,42817,2008,926,0.0
1401,911,42817,2009,926,0.0
1401,911,42817,2010,926,0.0
1401,911,42817,2011,926,0.0
1401,911,42817,2012,926,0.0
1401,911,42817,2013,926,0.0
1401,911,42817,2014,926,3.0
1401,911,42817,2015,926,0.0
1401,911,42817,2016,926,0.0
1401,911,42817,2101,926,0.0
1401,911,42817,2102,926,0.0
1401,911,42817,2103,926,0.0
1401,911,42817,2104,926,0.0
1401,911,42817,2105,926,0.0
1401,911,42817,2106,926,0.0
1401,911,42817,2107,926,0.0
1401,911,42817,2108,926,0.0
1401,911,42817,2109,926,0.0
1401,911,42817,2110,926,0.0
1401,911,42817,2111,926,0.0
1401,911,42817,2201,926,23.0
